Link,Domain,Have_IP,Have_@,URL_Length,Domain_Length,URL_Depth,occurence_tirets,Redirection,Number_%,https_Domain,TinyURL,label
https://www.gianphoithongminhhoaphat.com.vn,gianphoithongminhhoaphat.com.vn,27.0.12.212,0,43,31,1,1,6,1,0,1,0
https://www.bigsurvisitorguide.com,bigsurvisitorguide.com,198.185.159.145,0,34,22,1,1,6,1,0,0,0
https://www.danielhomola.com,danielhomola.com,185.199.109.153,0,28,16,1,1,6,1,0,0,0
https://www.sacajaweahome.com,sacajaweahome.com,64.190.63.111,0,29,17,1,1,6,1,0,0,0
https://www.wrr101.com,wrr101.com,209.208.243.25,0,22,10,1,1,6,1,0,0,0
https://www.quintet.co.jp,quintet.co.jp,157.7.107.104,0,25,13,1,1,6,1,0,1,0
https://www.twellv.co.jp,twellv.co.jp,52.69.213.48,0,24,12,1,1,6,1,0,0,0
https://www.gtsourapas.net,gtsourapas.net,38.55.32.35,0,26,14,1,1,6,1,0,0,0
https://www.webdoodles.org,webdoodles.org,185.229.22.195,0,26,14,1,1,6,1,0,0,0
https://www.a.abclocal.go.com,a.abclocal.go.com,95.100.85.164,0,29,17,1,1,6,1,0,0,0
https://www.techresearchonline.com,techresearchonline.com,43.204.247.216,0,34,22,1,1,6,1,0,0,0
https://www.zuniv.net,zuniv.net,162.241.252.98,0,21,9,1,1,6,1,0,0,0
https://www.wikileaksetc.blogspot.nl,wikileaksetc.blogspot.nl,142.250.178.129,0,36,24,1,1,6,1,0,0,0
https://www.terceracultura.cl,terceracultura.cl,138.186.9.89,0,29,17,1,1,6,1,0,0,0
https://www.en.msa.gov.cn,en.msa.gov.cn,128.1.77.226,0,25,13,1,1,6,1,0,0,0
https://www.infoenpunto.com,infoenpunto.com,,0,27,15,1,1,6,1,0,0,0
https://www.kevinenjoyce.com,kevinenjoyce.com,213.249.70.16,0,28,16,1,1,6,1,0,0,0
https://www.cachefly.oreilly.com,cachefly.oreilly.com,104.89.117.63,0,32,20,1,1,6,1,0,0,0
https://www.swimsuit-style.com,swimsuit-style.com,185.53.177.54,0,30,18,1,2,6,1,0,0,0
https://www.japanese.english-dictionary.help,japanese.english-dictionary.help,188.114.96.2,0,44,32,1,2,6,1,0,0,0
https://www.iob.ie,iob.ie,104.22.57.86,0,18,6,1,1,6,1,0,0,0
https://www.targetmalaria.org,targetmalaria.org,146.179.42.174,0,29,17,1,1,6,1,0,0,0
https://www.bazz1.com,bazz1.com,35.199.11.68,0,21,9,1,1,6,1,0,0,0
https://www.french-engravings.com,french-engravings.com,212.129.35.172,0,33,21,1,2,6,1,0,0,0
https://www.iebmedia.com,iebmedia.com,172.67.196.97,0,24,12,1,1,6,1,0,0,0
https://www.kogaionon.com,kogaionon.com,107.164.196.134,0,25,13,1,1,6,1,0,0,0
https://www.pedrobaycorp.com,pedrobaycorp.com,198.185.159.144,0,28,16,1,1,6,1,0,0,0
https://www.wampsbibleoflacrosse.com,wampsbibleoflacrosse.com,192.185.48.227,0,36,24,1,1,6,1,0,0,0
https://www.erc.com.na,erc.com.na,,0,22,10,1,1,6,1,0,0,0
https://www.trafficwaves.org,trafficwaves.org,204.122.18.2,0,28,16,1,1,6,1,0,0,0
https://www.cche.ca,cche.ca,35.209.217.38,0,19,7,1,1,6,1,0,0,0
https://www.echoparknow.com,echoparknow.com,192.185.197.129,0,27,15,1,1,6,1,0,0,0
https://www.financemalta.org,financemalta.org,54.154.61.89,0,28,16,1,1,6,1,0,0,0
https://www.los-encinos.org,los-encinos.org,66.254.69.139,0,27,15,1,2,6,1,0,0,0
https://www.twistedhistory.net.au,twistedhistory.net.au,103.240.88.10,0,33,21,1,1,6,1,0,0,0
https://www.newportbeachjazzparty.com,newportbeachjazzparty.com,35.225.88.202,0,37,25,1,1,6,1,0,0,0
https://www.spjeff.com,spjeff.com,35.208.100.224,0,22,10,1,1,6,1,0,0,0
https://www.carlos-sandoval.de,carlos-sandoval.de,80.237.133.162,0,30,18,1,2,6,1,0,0,0
https://www.puntaumbria.es,puntaumbria.es,,0,26,14,1,1,6,1,0,0,0
https://www.vcc.copyright.gov,vcc.copyright.gov,140.147.137.178,0,29,17,1,1,6,1,0,0,0
https://www.mclib.info,mclib.info,52.247.170.120,0,22,10,1,1,6,1,0,0,0
https://www.airnow.supportportal.com,airnow.supportportal.com,,0,36,24,1,1,6,1,0,0,0
https://www.arthistory.ucr.edu,arthistory.ucr.edu,54.215.214.157,0,30,18,1,1,6,1,0,0,0
https://www.westhill.net,westhill.net,198.49.23.144,0,24,12,1,1,6,1,0,0,0
https://www.greatwarforum.org,greatwarforum.org,52.222.158.127,0,29,17,1,1,6,1,0,0,0
https://www.amh.net.au,amh.net.au,101.234.129.163,0,22,10,1,1,6,1,0,0,0
https://www.mikesdailyjukebox.com,mikesdailyjukebox.com,192.254.187.103,0,33,21,1,1,6,1,0,1,0
https://www.milledgeville.galileo.usg.edu,milledgeville.galileo.usg.edu,128.192.81.144,0,41,29,1,1,6,1,0,0,0
https://www.rspec.rubyforge.org,rspec.rubyforge.org,50.56.192.79,0,31,19,1,1,6,1,0,0,0
https://www.data.covid19taskforce.com,data.covid19taskforce.com,54.156.11.123,0,37,25,1,1,6,1,0,0,0
https://www.kosherfest.com,kosherfest.com,104.196.176.83,0,26,14,1,1,6,1,0,1,0
https://www.largesound.com,largesound.com,74.82.39.233,0,26,14,1,1,6,1,0,0,0
https://www.buzz103.radio.com,buzz103.radio.com,,0,29,17,1,1,6,1,0,0,0
https://www.rightstartups.com,rightstartups.com,184.154.239.182,0,29,17,1,1,6,1,0,0,0
https://www.tinyfilemanager.github.io,tinyfilemanager.github.io,185.199.111.153,0,37,25,1,1,6,1,0,0,0
https://www.lycos.co.jp,lycos.co.jp,202.254.234.59,0,23,11,1,1,6,1,0,0,0
https://www.nw-enquirer.co.uk,nw-enquirer.co.uk,199.59.243.222,0,29,17,1,2,6,1,0,0,0
https://www.data.wa.gov.au,data.wa.gov.au,13.239.159.222,0,26,14,1,1,6,1,0,0,0
https://www.swanlaketour.com,swanlaketour.com,172.67.164.62,0,28,16,1,1,6,1,0,0,0
https://www.triplecrownrecords.com,triplecrownrecords.com,104.236.69.195,0,34,22,1,1,6,1,0,0,0
https://www.spatial.cs.umn.edu,spatial.cs.umn.edu,160.94.145.100,0,30,18,1,1,6,1,0,0,0
https://www.deltachi.org,deltachi.org,192.124.249.161,0,24,12,1,1,6,1,0,0,0
https://www.undergroundkent.co.uk,undergroundkent.co.uk,35.214.45.226,0,33,21,1,1,6,1,0,1,0
https://www.tribunalconstitucional.ao,tribunalconstitucional.ao,192.232.216.127,0,37,25,1,1,6,1,0,0,0
https://www.gen-mus.co.il,gen-mus.co.il,46.101.119.117,0,25,13,1,2,6,1,0,0,0
https://www.airmedical.net,airmedical.net,3.33.152.147,0,26,14,1,1,6,1,0,0,0
https://www.codexfoundation.org,codexfoundation.org,66.117.151.33,0,31,19,1,1,6,1,0,0,0
https://www.spcrr.org,spcrr.org,207.150.212.28,0,21,9,1,1,6,1,0,0,0
https://www.minerals.state.nv.us,minerals.state.nv.us,167.154.10.59,0,32,20,1,1,6,1,0,0,0
https://www.campbell-kibler.com,campbell-kibler.com,66.175.58.9,0,31,19,1,2,6,1,0,0,0
https://www.lindaspalding.com,lindaspalding.com,104.21.13.219,0,29,17,1,1,6,1,0,0,0
https://www.sinenomine-pub.com,sinenomine-pub.com,69.16.230.42,0,30,18,1,2,6,1,0,0,0
https://www.islacristina.es,islacristina.es,,0,27,15,1,1,6,1,0,0,0
https://www.ccge.org,ccge.org,209.29.255.212,0,20,8,1,1,6,1,0,0,0
https://www.henrygeorgeschool.org,henrygeorgeschool.org,3.33.152.147,0,33,21,1,1,6,1,0,0,0
https://www.ssabuddhist.org,ssabuddhist.org,101.100.209.199,0,27,15,1,1,6,1,0,0,0
https://www.esmae.ipp.pt,esmae.ipp.pt,193.136.58.218,0,24,12,1,1,6,1,0,0,0
https://www.foxproject.org.uk,foxproject.org.uk,91.238.161.176,0,29,17,1,1,6,1,0,0,0
